lat_deg,lon_deg,status_id,report_date,source,water_source_clean,water_tech_clean,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,clean_adm4,activity_id,scheme_id,wpdx_id,install_year,installer,rehab_year,rehabilitator,management_clean,pay_clean,status_clean,fecal_coliform_presence,fecal_coliform_value,subjective_quality,notes,local_population,assigned_population,facility_type,water_source_category,water_tech_category,created_timestamp,dataset_title,rehab_priority,would_gain_access,usage_cap,criticality,pressure,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,is_urban,days_since_report,staleness,prediction_yes_0y,prediction_yes_2y,prediction_no_0y,prediction_no_2y,predicted_status_0y,predicted_status_2y,predicted_category
#geo+lat,#geo+lon,#indicator+water_avail+bool,#date+reported,#meta+source,#indicator+water_source,#indicator+water_tech,#country+code+v_iso3,#country+name,#adm1+name,#adm2+name,#adm3+name,#adm4+name,#loc+water_point+id,#loc+water_point+scheme,#loc+wpdx+id,#date+install+year,#org+installer,#date+rehab+year,#org+rehabilitator,#indicator+management,#indicator+pay,#indicator+water_avail_detail,#indicator+fecal_coliform_presence+bool,#indicator+fecal_coliform_value+num,#indicator+subjective_quality,#description+notes,#indicator+pop_within_1km+num,#reached+assigned_pop,#indicator+facility_type,#indicator+water_source_category,#indicator+water_tech_category,#date+uploaded_to_WPdx,#meta+wpdx+dataset+title,#affected+rehab_priority,#inneed+would_gain_access,#indicator+usage_cap,#indicator+criticality,#indicator+pressure,#indicator+distance_to_primary,#indicator+distance_to_secondary,#indicator+distance_to_tertiary,#indicator+distance_to_city,#indicator+distance_to_town,#indicator+is_urban,#indicator+days_since_report,#indicator+staleness,#indicator+prediction_yes_0y,#indicator+prediction_yes_2y,#indicator+prediction_no_0y,#indicator+prediction_no_2y,#indicator+predicted_status_0y,#indicator+predicted_status_2y,#indicator+predicted_category
-14.54031,24.19458,Yes,2019-09-19,UNHCR,Protected Well,Hand Pump,ZMB,Zambia,Western,Kaoma,,,ZMB--000069,,5GQ6F55V+VRG,,,,,,,Non-Functional,,,,Mayukwayukwa,2015,69,Improved,Well,Hand Pump,2023-01-05T19:39:52,UNHCR_Global_2022,,,300,0.03424317617866005,0.23,86646.86785896051,6591.132365815711,859.564961855972,,71162.69726216746,False,2502,45.44518057581031,,,,,,,
-14.53721,24.21544,Yes,2019-09-19,UNHCR,Protected Well,Hand Pump,ZMB,Zambia,Western,Kaoma,,,ZMB--000078,,5GQ6F678+458,,,,,,,Non-Functional,,,,Mayukwayukwa,1040,43,Improved,Well,Hand Pump,2023-01-05T19:39:52,UNHCR_Global_2022,,,300,0.041346153846153845,0.14333333333333334,87248.10741814629,5043.401989340736,89.92978600889687,,69258.57573842314,False,2502,45.44518057581031,,,,,,,
-15.300167,28.835333,Yes,2018-08-27,Living Water International,Borehole/Tubewell,,ZMB,Zambia,Lusaka,Rufunsa,,,2422,,5GPCMRXP+W4P,2016,,,,,,Non-Functional,,,,,89,54,Improved,Well,,2021-02-26T21:23:51,Living Water International_Global_2019-2020,,,300,0.6067415730337079,0.18,47233.30196093732,12006.16492684058,2932.7810968436083,60773.115905583785,16811.72523285317,False,2890,40.213552198366656,,,,,,,
-15.998833,28.862767,Yes,2019-02-16,Living Water International,Borehole/Tubewell,,ZMB,Zambia,Lusaka,Chirundu,,,4690,,5GPC2V27+F46,2017,,,,,,Non-Functional,,,,,454,188,Improved,Well,,2021-02-26T21:23:51,Living Water International_Global_2019-2020,,,300,0.41409691629955947,0.6266666666666667,18255.051550287662,19984.067873653807,47.21013937095259,89590.62392056703,3861.493032525246,False,2717,42.467366782022395,,,,,,,
-14.54842,24.1919,Yes,2019-09-19,UNHCR,Protected Well,Hand Pump,ZMB,Zambia,Western,Kaoma,,,ZMB--000010,,5GQ6F52R+JQJ,,,,,,,Non-Functional,,,,Mayukwayukwa,2849,95,Improved,Well,Hand Pump,2023-01-05T19:39:52,UNHCR_Global_2022,,,300,0.033345033345033345,0.31666666666666665,87359.2251227708,7495.605323389857,650.4523516873925,,71068.06782394892,False,2502,45.44518057581031,,,,,,,
-14.964733,29.83027,Yes,2018-11-05,Living Water International,Borehole/Tubewell,,ZMB,Zambia,Lusaka,Rufunsa,,,3459,,5GQF2RPJ+442,2018,,,,,,Non-Functional,,,,,89,27,Improved,Well,,2021-02-26T21:23:51,Living Water International_Global_2019-2020,,,300,0.30337078651685395,0.09,154382.80987613814,40522.92352591645,15217.801682182013,173718.1253829871,85337.97968743539,False,2820,41.11072275207983,,,,,,,
-10.139246666666667,31.229118333333336,Yes,2014-10-03,SNV-Zambia,Protected Spring,,ZMB,Zambia,Northern,Kasama,,,ksecxs,,5GXHV66H+8J5,1903,,,,,,Functional,,,Taste: Good Color: Normal,,703,75,Improved,Spring,,2020-07-30T08:16:33,SNV Zambia_Zambia_2014,,,250,0.10668563300142248,0.3,1958.0099385345047,7072.540429022357,7645.575986066808,245721.96745735483,8905.10605150274,False,4314,25.670448624116077,,,,,,,
-17.431002000000014,24.90175399999999,Yes,2020-07-10,WaterAid,Piped Water,Public Tapstand,ZMB,Zambia,Western,Mwandi,,,181625801,,5GJ6HW92+HPR,2020,WaterAid,,WaterAid,,,Non-Functional,,,Not within National standards (not potable),,,,Improved,Piped Water,Public Tapstand,2022-09-06T17:51:14,WaterAid_Global_2020-2021,,,250,,,54960.300558435265,58236.575626941376,29333.69675642018,66325.04709046839,12399.555749621042,False,2207,49.87374285634145,,,,,,,
-17.430968000000007,24.902271,Yes,2020-07-10,WaterAid,Piped Water,Public Tapstand,ZMB,Zambia,Western,Mwandi,,,181625863,,5GJ6HW92+JW6,2020,WaterAid,,WaterAid,,,Non-Functional,,,Not within National standards (not potable),,,,Improved,Piped Water,Public Tapstand,2022-09-06T17:51:14,WaterAid_Global_2020-2021,,,250,,,54926.80470857139,58257.76809242767,29373.18582747659,66380.01447647439,12439.062714193016,False,2207,49.87374285634145,,,,,,,
